feedback_id,order_id,customer_name,feedback_text,sentiment,rating,created_at
108,8098,Kaira Kade,Package cancelled due to stock issue.,Positive,5,2025-01-21 20:17:57
109,4587,Lakshit Gera,Package cancelled due to stock issue.,Negative,5,2025-06-19 13:55:06
110,4872,Onkar Ahluwalia,Driver was polite but package was delayed.,Negative,2,2025-02-24 02:19:41
111,4825,Hunar Bawa,"Package was late, no update from driver.",Positive,4,2025-02-22 09:13:01
112,6838,Vihaan Sandhu,Package cancelled due to stock issue.,Positive,2,2025-06-04 09:28:50
113,9311,Rati Choudhary,"Good service, on time delivery.",Neutral,2,2025-08-03 19:27:57
114,1317,Alia Som,"Package was late, no update from driver.",Neutral,2,2025-08-15 19:02:48
115,5330,Armaan Dhillon,"Delivery never came, wrong address issue.",Neutral,4,2025-08-27 00:59:57
116,5405,Mahika Borde,Package cancelled due to stock issue.,Positive,1,2025-06-17 04:16:18
117,91,Pranay Bhasin,Package cancelled due to stock issue.,Neutral,1,2025-01-10 07:26:45
118,4470,Taran Deo,"Package was late, no update from driver.",Negative,4,2025-02-10 01:15:12
119,6992,Lakshit Dara,"Delivery never came, wrong address issue.",Neutral,1,2025-06-14 20:12:08
120,7787,Nitya Sachar,"Package was late, no update from driver.",Positive,2,2025-02-22 01:56:27
121,7550,Kiara Dayal,"Package was late, no update from driver.",Positive,2,2025-07-22 08:32:05
122,3784,Baiju D’Alia,"Package was late, no update from driver.",Positive,2,2025-06-09 00:23:38
123,4300,Amira Dalal,"Good service, on time delivery.",Neutral,4,2025-03-08 16:24:58
124,2679,Trisha Kar,"Good service, on time delivery.",Negative,1,2025-07-16 17:41:18
125,4605,Manjari Basak,Driver was polite but package was delayed.,Neutral,3,2025-01-04 23:25:40
126,5346,Anya Vala,"Good service, on time delivery.",Neutral,5,2025-01-03 06:10:12
127,137,Aarav Bassi,"Package was late, no update from driver.",Negative,2,2025-05-19 19:57:29
128,4821,Baiju Sagar,"Good service, on time delivery.",Negative,4,2025-06-01 05:23:06
129,7487,Keya Bhargava,"Good service, on time delivery.",Positive,3,2025-04-20 23:59:22
130,613,Hansh Mandal,"Package was late, no update from driver.",Neutral,2,2025-04-16 19:28:37
131,291,Arhaan Bir,"Delivery never came, wrong address issue.",Negative,3,2025-09-03 23:32:47
132,4863,Divit Kumar,"Good service, on time delivery.",Neutral,2,2025-05-26 13:23:29
133,2314,Inaaya  Sant,"Good service, on time delivery.",Neutral,5,2025-04-22 13:07:38
134,2069,Emir Roy,"Good service, on time delivery.",Neutral,3,2025-04-01 00:00:53
135,3063,Urvi Raju,"Delivery never came, wrong address issue.",Positive,1,2025-04-19 02:26:47
136,7493,Tarini Chahal,Driver was polite but package was delayed.,Neutral,3,2025-08-15 16:44:36
137,420,Divij Butala,"Delivery never came, wrong address issue.",Negative,1,2025-08-26 02:57:08
138,7147,Divit Khare,"Good service, on time delivery.",Neutral,5,2025-05-04 15:09:25
139,5945,Alia Contractor,"Package was late, no update from driver.",Negative,4,2025-04-02 17:47:56
140,8206,Rati Keer,Driver was polite but package was delayed.,Negative,1,2025-04-27 11:29:08
141,1290,Indrajit Lal,"Good service, on time delivery.",Neutral,2,2025-08-10 09:11:22
142,6477,Urvi Gara,Package cancelled due to stock issue.,Positive,5,2025-08-19 09:15:18
143,7869,Tanya Saxena,Driver was polite but package was delayed.,Negative,4,2025-06-18 02:28:21
144,6116,Yuvaan Swaminathan,"Package was late, no update from driver.",Neutral,4,2025-02-15 19:24:05
145,241,Kashvi Varkey,"Good service, on time delivery.",Neutral,5,2025-04-22 19:50:21
146,8014,Damini Hora,Driver was polite but package was delayed.,Neutral,3,2025-03-25 03:02:26
147,519,Alisha Chawla,"Delivery never came, wrong address issue.",Negative,3,2025-05-16 20:34:17
148,7995,Divyansh Tata,Driver was polite but package was delayed.,Positive,4,2025-07-16 06:34:17
149,3115,Ojas Lanka,Driver was polite but package was delayed.,Neutral,1,2025-02-11 03:52:32
150,8853,Inaaya  Khatri,Driver was polite but package was delayed.,Negative,5,2025-03-24 06:33:01
151,9086,Neelofar Maharaj,Package cancelled due to stock issue.,Negative,5,2025-08-31 18:08:41
152,7887,Divyansh Mani,Package cancelled due to stock issue.,Negative,1,2025-05-24 17:49:59
153,4849,Indrajit Aurora,"Package was late, no update from driver.",Neutral,1,2025-07-23 22:25:25
154,48,Nishith Sha,"Delivery never came, wrong address issue.",Neutral,5,2025-02-15 00:31:46
155,349,Kavya Shetty,"Package was late, no update from driver.",Positive,5,2025-05-22 04:45:02
156,1151,Nirvaan Garde,"Package was late, no update from driver.",Positive,1,2025-06-22 03:32:18
157,245,Sahil Bajaj,"Delivery never came, wrong address issue.",Negative,3,2025-06-08 13:38:30
158,2470,Elakshi Apte,"Good service, on time delivery.",Negative,3,2025-08-02 21:20:46
159,5783,Nirvaan Sood,"Delivery never came, wrong address issue.",Neutral,4,2025-07-20 10:34:20
160,388,Ryan Sastry,"Good service, on time delivery.",Neutral,4,2025-08-24 14:09:39
161,1636,Eva Khare,Package cancelled due to stock issue.,Positive,2,2025-05-04 13:35:12
162,449,Tara Gill,Package cancelled due to stock issue.,Negative,5,2025-05-01 13:29:44
163,3982,Bhavin Tata,"Delivery never came, wrong address issue.",Negative,1,2025-06-03 18:11:00
164,581,Arhaan Bedi,"Good service, on time delivery.",Positive,5,2025-08-17 23:17:52
165,1836,Dharmajan Tara,"Delivery never came, wrong address issue.",Negative,2,2025-08-06 08:14:24
166,7415,Alia Rana,"Delivery never came, wrong address issue.",Neutral,3,2025-01-16 09:51:01
167,5966,Gatik Kapur,"Good service, on time delivery.",Negative,1,2025-02-05 15:53:32
168,883,Neysa Venkatesh,"Good service, on time delivery.",Negative,3,2025-02-20 17:51:25
169,3041,Seher Bora,Driver was polite but package was delayed.,Negative,4,2025-05-04 17:52:23
170,3272,Hazel Kant,Driver was polite but package was delayed.,Positive,4,2025-04-20 14:05:44
171,3915,Abram Rau,Package cancelled due to stock issue.,Neutral,5,2025-03-20 14:58:44
172,8928,Armaan Chana,"Good service, on time delivery.",Negative,5,2025-07-24 18:18:43
173,2349,Hansh Rastogi,"Package was late, no update from driver.",Neutral,4,2025-04-03 00:17:14
174,93,Shray Batra,"Package was late, no update from driver.",Negative,2,2025-02-07 12:27:21
175,3942,Hiran Singh,"Good service, on time delivery.",Negative,2,2025-04-16 12:44:39
176,6034,Yuvraj  Srinivasan,Driver was polite but package was delayed.,Negative,1,2025-06-26 13:51:18
177,8747,Ayesha Biswas,"Package was late, no update from driver.",Neutral,5,2025-05-04 12:43:36
178,8813,Manjari Dhaliwal,"Good service, on time delivery.",Negative,1,2025-03-12 23:24:50
179,1585,Ayesha Bajaj,Package cancelled due to stock issue.,Neutral,2,2025-03-27 06:45:27
180,8543,Ivana Sarin,"Good service, on time delivery.",Negative,3,2025-03-01 18:12:59
181,4828,Parinaaz Malhotra,Driver was polite but package was delayed.,Neutral,2,2025-09-03 18:14:21
182,4101,Aarush Dani,Package cancelled due to stock issue.,Neutral,2,2025-05-25 19:09:36
183,5576,Eshani Loke,"Good service, on time delivery.",Neutral,1,2025-05-08 14:24:05
184,3687,Tushar Sur,Driver was polite but package was delayed.,Negative,2,2025-03-06 21:12:12
185,8843,Kaira Chowdhury,"Good service, on time delivery.",Positive,2,2025-05-06 16:24:17
186,6074,Adah Krishna,"Package was late, no update from driver.",Negative,1,2025-02-06 03:09:33
187,8945,Jiya Soman,"Package was late, no update from driver.",Positive,4,2025-03-08 16:28:08
188,1343,Samar Thakkar,"Good service, on time delivery.",Positive,5,2025-02-16 00:56:21
189,4999,Adah Zacharia,Driver was polite but package was delayed.,Neutral,1,2025-05-03 14:52:34
190,7095,Baiju Rana,Package cancelled due to stock issue.,Negative,3,2025-07-15 20:57:37
191,9771,Samarth Sane,"Package was late, no update from driver.",Negative,2,2025-03-06 03:10:20
192,7826,Lakshit Deo,"Good service, on time delivery.",Negative,1,2025-06-27 20:37:29
193,9331,Advik Mangat,Package cancelled due to stock issue.,Negative,5,2025-04-09 18:40:07
194,3003,Dharmajan Bail,"Delivery never came, wrong address issue.",Positive,4,2025-04-29 09:55:06
195,1908,Divyansh Sekhon,"Package was late, no update from driver.",Neutral,2,2025-07-24 21:43:16
196,8077,Raghav Char,"Delivery never came, wrong address issue.",Positive,1,2025-06-24 06:22:13
197,5279,Shray Bala,"Good service, on time delivery.",Negative,3,2025-03-01 20:18:14
198,7540,Nishith Garde,"Good service, on time delivery.",Neutral,2,2025-04-03 06:19:42
199,8376,Riaan Mand,Driver was polite but package was delayed.,Neutral,5,2025-06-09 08:46:58
200,2853,Arhaan Kulkarni,"Good service, on time delivery.",Positive,1,2025-03-27 19:23:58
201,2804,Abram Viswanathan,"Good service, on time delivery.",Positive,4,2025-08-23 23:07:06
202,1953,Pranay Garg,Package cancelled due to stock issue.,Negative,5,2025-07-25 22:04:24
203,2512,Neelofar Kumer,"Package was late, no update from driver.",Positive,1,2025-03-15 17:22:43
204,5100,Divij Andra,"Good service, on time delivery.",Neutral,5,2025-05-20 23:25:38
205,6629,Rania Chaudhuri,Package cancelled due to stock issue.,Negative,3,2025-08-08 13:02:24
206,3390,Jayan Dutta,Package cancelled due to stock issue.,Negative,2,2025-08-28 21:58:04
207,3903,Himmat Apte,"Package was late, no update from driver.",Negative,2,2025-02-17 06:50:45
208,4753,Samaira Brahmbhatt,Package cancelled due to stock issue.,Neutral,4,2025-08-22 00:37:58
209,412,Nayantara Dalal,"Package was late, no update from driver.",Negative,4,2025-03-05 17:07:16
210,3503,Mohanlal Mahal,"Good service, on time delivery.",Positive,2,2025-08-26 23:06:50
211,2767,Samiha Goyal,"Good service, on time delivery.",Positive,3,2025-07-11 10:12:54
212,745,Manikya Ramesh,Driver was polite but package was delayed.,Neutral,2,2025-05-13 02:14:41
213,7712,Darshit Sundaram,"Package was late, no update from driver.",Neutral,4,2025-08-31 05:56:47
214,705,Misha Sodhi,"Good service, on time delivery.",Positive,3,2025-04-06 16:39:08
215,2521,Heer Sunder,"Good service, on time delivery.",Positive,3,2025-05-23 09:46:18
216,766,Shayak Saxena,"Package was late, no update from driver.",Neutral,2,2025-07-02 10:24:41
217,3112,Jivika Vaidya,"Good service, on time delivery.",Neutral,1,2025-01-05 01:11:49
218,1710,Bhamini Wali,"Package was late, no update from driver.",Neutral,1,2025-01-09 13:56:18
219,2810,Sumer Bajaj,"Good service, on time delivery.",Negative,4,2025-02-08 19:23:36
220,3692,Aarna Kalla,"Package was late, no update from driver.",Positive,2,2025-01-11 17:49:05
221,6174,Vanya Kar,"Delivery never came, wrong address issue.",Neutral,5,2025-05-15 08:41:09
222,1845,Eshani Mahal,Package cancelled due to stock issue.,Negative,2,2025-08-31 20:08:38
223,9345,Anahi Rau,Package cancelled due to stock issue.,Positive,3,2025-02-13 10:59:08
224,6041,Nayantara Tara,Package cancelled due to stock issue.,Neutral,4,2025-02-12 04:22:41
225,1029,Dhruv Aurora,"Delivery never came, wrong address issue.",Negative,1,2025-02-23 14:46:35
226,6645,Mannat Bhattacharyya,"Delivery never came, wrong address issue.",Negative,1,2025-07-30 11:54:01
227,2824,Vivaan Sule,Package cancelled due to stock issue.,Negative,5,2025-04-04 11:10:31
228,7260,Samaira Shankar,"Good service, on time delivery.",Positive,1,2025-07-01 20:54:08
229,2290,Madhup Khosla,Package cancelled due to stock issue.,Negative,1,2025-02-17 06:08:50
230,6901,Rohan Soni,"Package was late, no update from driver.",Negative,1,2025-09-07 14:29:16
231,7116,Anya Venkataraman,Package cancelled due to stock issue.,Negative,5,2025-06-12 12:22:11
232,6654,Devansh Mammen,"Good service, on time delivery.",Negative,3,2025-07-17 13:52:33
233,8397,Diya Mangat,Driver was polite but package was delayed.,Neutral,4,2025-01-31 12:36:59
234,7651,Ira Doctor,Driver was polite but package was delayed.,Neutral,2,2025-06-04 01:54:35
235,9648,Arhaan Mandal,"Delivery never came, wrong address issue.",Neutral,4,2025-08-17 00:15:52
236,1881,Madhav Saha,"Good service, on time delivery.",Negative,2,2025-06-12 22:12:45
237,2705,Anika Mander,"Good service, on time delivery.",Negative,4,2025-04-21 20:22:48
238,1270,Reyansh De,"Good service, on time delivery.",Positive,4,2025-08-27 06:22:13
239,3362,Nirvaan Tara,"Good service, on time delivery.",Neutral,4,2025-05-28 14:28:34
240,534,Kimaya Gara,"Good service, on time delivery.",Negative,5,2025-06-14 17:04:36
241,6972,Prerak Bahl,"Good service, on time delivery.",Negative,5,2025-01-22 23:41:31
242,4465,Kimaya Gola,"Delivery never came, wrong address issue.",Positive,3,2025-04-27 15:48:46
243,5488,Vidur Dass,Driver was polite but package was delayed.,Positive,3,2025-07-06 02:22:03
244,5151,Arnav Bhatnagar,"Package was late, no update from driver.",Negative,3,2025-07-15 16:17:24
245,7418,Tarini Chandra,"Package was late, no update from driver.",Positive,3,2025-05-10 01:55:01
246,144,Khushi Banerjee,"Delivery never came, wrong address issue.",Negative,3,2025-05-10 10:38:32
247,4443,Ehsaan Sharma,"Good service, on time delivery.",Positive,5,2025-02-16 02:50:04
248,1655,Zaina Ganguly,"Delivery never came, wrong address issue.",Negative,2,2025-06-28 17:52:43
249,2572,Yakshit Sachdeva,Driver was polite but package was delayed.,Negative,3,2025-02-14 07:31:47
250,3397,Oorja Sharaf,Driver was polite but package was delayed.,Neutral,3,2025-05-07 23:15:26
251,6406,Mohanlal Shenoy,"Delivery never came, wrong address issue.",Negative,4,2025-05-15 22:33:56
252,1600,Aarna Tara,Package cancelled due to stock issue.,Negative,1,2025-01-02 00:39:07
253,9093,Myra Divan,"Good service, on time delivery.",Neutral,4,2025-05-27 05:27:35
254,5961,Siya Gara,Driver was polite but package was delayed.,Neutral,4,2025-09-07 23:06:51
255,6619,Sumer Sabharwal,"Good service, on time delivery.",Neutral,1,2025-06-23 07:30:09
256,990,Himmat Samra,Package cancelled due to stock issue.,Positive,3,2025-03-12 06:04:31
257,4599,Khushi Bhatti,"Delivery never came, wrong address issue.",Positive,2,2025-05-11 08:00:55
258,2949,Dhanuk Ganesan,"Package was late, no update from driver.",Neutral,1,2025-07-13 21:15:19
259,6935,Dishani Sule,"Package was late, no update from driver.",Neutral,3,2025-03-28 19:17:21
260,4335,Amani Arora,"Package was late, no update from driver.",Neutral,2,2025-03-25 20:49:49
261,1541,Vardaniya Sani,"Good service, on time delivery.",Positive,2,2025-01-16 02:11:14
262,8017,Riaan Bava,Package cancelled due to stock issue.,Positive,5,2025-03-25 19:55:24
263,2621,Yakshit Sane,Package cancelled due to stock issue.,Neutral,2,2025-05-15 02:22:17
264,8364,Manikya Jain,"Delivery never came, wrong address issue.",Negative,2,2025-01-09 03:37:27
265,766,Fateh Goda,"Package was late, no update from driver.",Positive,4,2025-05-13 08:57:40
266,3506,Reyansh Kakar,"Delivery never came, wrong address issue.",Neutral,1,2025-04-12 14:44:00
267,2867,Heer Mann,Package cancelled due to stock issue.,Positive,5,2025-02-12 01:25:21
268,7559,Trisha Borra,"Delivery never came, wrong address issue.",Negative,4,2025-08-14 12:41:27
269,1331,Vardaniya Rajan,"Good service, on time delivery.",Neutral,5,2025-02-10 03:55:24
270,88,Divij Agrawal,"Delivery never came, wrong address issue.",Positive,3,2025-08-24 07:00:43
271,5461,Taimur Bumb,Package cancelled due to stock issue.,Negative,5,2025-07-21 19:25:45
272,4996,Prisha Dhingra,Driver was polite but package was delayed.,Negative,2,2025-04-02 05:23:32
273,1463,Sana Edwin,Package cancelled due to stock issue.,Negative,2,2025-09-04 02:08:18
274,6835,Saksham Sule,"Delivery never came, wrong address issue.",Negative,1,2025-08-24 00:20:45
275,1139,Kashvi Desai,Driver was polite but package was delayed.,Neutral,4,2025-05-30 19:02:30
276,4157,Vedika Mannan,"Package was late, no update from driver.",Neutral,3,2025-04-20 01:13:15
277,9503,Farhan Goswami,"Package was late, no update from driver.",Negative,5,2025-07-30 17:41:10
278,4487,Kaira Chowdhury,Package cancelled due to stock issue.,Neutral,1,2025-07-19 10:20:43
279,9988,Kiaan Bhattacharyya,Package cancelled due to stock issue.,Positive,5,2025-09-04 07:04:42
280,9410,Lavanya Kakar,"Good service, on time delivery.",Negative,3,2025-02-12 03:52:14
281,7554,Indrajit Handa,"Good service, on time delivery.",Positive,3,2025-05-31 12:48:05
282,4860,Anahita Sachdeva,"Good service, on time delivery.",Neutral,5,2025-06-16 19:18:19
283,1859,Siya Dugar,"Delivery never came, wrong address issue.",Neutral,5,2025-03-11 01:19:12
284,1921,Ranbir Choudhry,"Delivery never came, wrong address issue.",Negative,3,2025-03-23 08:51:35
285,9418,Kismat Sachar,"Delivery never came, wrong address issue.",Positive,1,2025-06-09 00:11:17
286,3230,Yakshit Buch,"Package was late, no update from driver.",Negative,3,2025-02-19 04:38:10
287,9073,Sahil Dhar,"Good service, on time delivery.",Positive,2,2025-07-24 15:11:52
288,6224,Alisha Das,Driver was polite but package was delayed.,Positive,5,2025-04-01 10:32:44
289,5231,Shray Dhillon,Package cancelled due to stock issue.,Positive,1,2025-01-02 19:39:31
290,8332,Gatik Kalita,Package cancelled due to stock issue.,Neutral,2,2025-03-25 01:09:44
291,1403,Kavya Varty,"Package was late, no update from driver.",Positive,5,2025-08-12 03:30:48
292,8482,Nirvi Kapoor,"Good service, on time delivery.",Negative,1,2025-05-27 13:04:07
293,9920,Vardaniya Acharya,"Delivery never came, wrong address issue.",Negative,3,2025-01-12 02:25:16
294,4201,Sahil Bail,"Good service, on time delivery.",Positive,1,2025-05-08 10:45:31
295,6359,Bhamini Chaudhry,"Delivery never came, wrong address issue.",Neutral,4,2025-09-01 17:19:10
296,7783,Prisha Chakraborty,"Delivery never came, wrong address issue.",Negative,5,2025-03-14 18:06:27
