driver_id,driver_name,phone,license_number,partner_company,city,state,status,created_at
19,Miraya Bora,09734873564,DL00194603,In-house,Ahmedabad,Gujarat,Active,2023-09-17 12:46:05
20,Jivika Kurian,0991316667,DL00202074,Delhivery,Coimbatore,Tamil Nadu,Inactive,2020-06-03 19:48:41
21,Dhruv Bhakta,+917244065107,DL00219000,BlueDart,Ahmedabad,Gujarat,Active,2023-10-18 02:22:57
22,Renee Kale,+912520657522,DL00226254,EcomExpress,Bengaluru,Karnataka,Inactive,2022-04-24 23:11:13
23,Vihaan Vasa,+918979885182,DL00236464,Delhivery,New Delhi,Delhi,Active,2024-02-20 13:59:12
24,Kimaya Maharaj,9119738533,DL00241937,EcomExpress,Mysuru,Karnataka,Active,2024-04-25 17:20:25
25,Jayesh Goswami,+911755300923,DL00253656,EcomExpress,Chennai,Tamil Nadu,Active,2021-06-08 06:42:27
26,Sara Lal,8938676337,DL00266044,Shadowfax,Bengaluru,Karnataka,Inactive,2023-08-13 21:55:33
27,Drishya Chaudhari,+910306950755,DL00277864,In-house,Nagpur,Maharashtra,Inactive,2025-06-12 13:16:03
28,Tiya Sabharwal,+919424878951,DL00284493,In-house,Mysuru,Karnataka,Active,2020-12-09 03:26:48
29,Nitya Sami,5182126674,DL00293999,BlueDart,Mysuru,Karnataka,Active,2024-06-29 15:22:49
30,Renee Lal,5776810650,DL00305303,EcomExpress,Coimbatore,Tamil Nadu,Inactive,2025-05-14 13:45:33
31,Kaira Samra,1856953169,DL00317621,Delhivery,New Delhi,Delhi,Inactive,2025-07-02 23:20:37
32,Nishith Mandal,+913339061744,DL00322625,Shadowfax,Coimbatore,Tamil Nadu,Inactive,2023-09-08 22:12:42
33,Mohanlal Kadakia,+915578099238,DL00339757,Shadowfax,Mumbai,Maharashtra,Active,2025-05-01 23:31:17
34,Mamooty Shanker,+915805888200,DL00342661,In-house,Coimbatore,Tamil Nadu,Inactive,2023-07-28 04:02:36
35,Akarsh Arora,5140557135,DL00354129,In-house,Mysuru,Karnataka,Active,2024-05-22 04:53:40
36,Anay Madan,5397549353,DL00366456,In-house,New Delhi,Delhi,Active,2020-06-01 20:25:33
37,Jayan Dutt,01152675965,DL00373932,BlueDart,Surat,Gujarat,Active,2024-06-08 00:23:48
38,Tiya Lalla,01103244183,DL00388224,BlueDart,Mysuru,Karnataka,Active,2024-08-30 05:25:51
39,Jiya Choudhary,+918333715165,DL00399394,In-house,Ahmedabad,Gujarat,Active,2025-08-14 22:33:36
40,Rohan Shetty,+913901965400,DL00407669,BlueDart,Coimbatore,Tamil Nadu,Active,2023-09-06 11:48:16
41,Saksham Bansal,9811054466,DL00418023,BlueDart,Mysuru,Karnataka,Active,2022-07-04 23:33:14
42,Saksham Goel,5180948551,DL00425699,EcomExpress,Bengaluru,Karnataka,Active,2023-07-28 04:00:31
43,Kiara Sarraf,1418703471,DL00431654,Shadowfax,Mumbai,Maharashtra,Inactive,2024-02-24 06:17:53
44,Farhan Sanghvi,+917513678799,DL00442618,Shadowfax,Mumbai,Maharashtra,Active,2024-07-02 12:59:41
45,Myra Dhingra,07880842704,DL00458762,BlueDart,Mysuru,Karnataka,Inactive,2024-12-07 06:07:57
46,Trisha Karnik,+914230210329,DL00466093,EcomExpress,Bengaluru,Karnataka,Inactive,2024-11-26 03:43:51
47,Khushi Thakur,+914136398449,DL00471901,BlueDart,Ahmedabad,Gujarat,Inactive,2021-05-08 13:51:27
48,Vaibhav Bhalla,+913067486965,DL00483976,In-house,Coimbatore,Tamil Nadu,Inactive,2022-08-12 11:39:56
49,Shamik Wali,8272484426,DL00491388,Shadowfax,Ahmedabad,Gujarat,Active,2025-07-11 14:40:25
50,Yashvi Bhatt,2504417215,DL00503629,Shadowfax,Pune,Maharashtra,Active,2022-09-15 19:43:41
51,Farhan Rau,04261469973,DL00513558,In-house,Chennai,Tamil Nadu,Inactive,2021-03-29 15:06:19
52,Nehmat Walla,00213145158,DL00523024,In-house,Nagpur,Maharashtra,Active,2024-04-01 08:11:27
53,Aarush Dhaliwal,06314725655,DL00535431,Shadowfax,Coimbatore,Tamil Nadu,Active,2020-10-21 07:03:58
54,Hrishita Amble,1976477537,DL00543934,BlueDart,Mysuru,Karnataka,Active,2023-07-25 11:01:03
55,Faiyaz Wali,1065705164,DL00559735,EcomExpress,Nagpur,Maharashtra,Inactive,2022-04-07 09:11:40
56,Myra Shetty,+913436823706,DL00565285,BlueDart,Coimbatore,Tamil Nadu,Inactive,2025-05-24 04:07:03
57,Dishani Tata,1523500068,DL00579219,In-house,Surat,Gujarat,Inactive,2020-01-11 12:09:32
58,Anahita Shenoy,+914375096271,DL00587874,BlueDart,Chennai,Tamil Nadu,Inactive,2023-08-27 21:40:02
59,Nirvi Kothari,07864619123,DL00594634,EcomExpress,Nagpur,Maharashtra,Inactive,2020-10-02 13:22:18
60,Zaina Sundaram,+919418671988,DL00602432,In-house,Nagpur,Maharashtra,Inactive,2023-03-05 16:33:56
61,Anya Rout,5439446094,DL00619120,In-house,Bengaluru,Karnataka,Inactive,2023-07-07 23:54:33
62,Aradhya Bala,05234003339,DL00626847,Delhivery,Mysuru,Karnataka,Active,2021-12-09 15:07:52
63,Mamooty Sundaram,+910760330171,DL00636390,Delhivery,Chennai,Tamil Nadu,Inactive,2023-09-24 07:06:31
64,Kiaan Swamy,1622597794,DL00649276,BlueDart,Pune,Maharashtra,Active,2023-09-09 23:40:59
65,Jivin Saraf,+913370372720,DL00651204,In-house,Bengaluru,Karnataka,Active,2024-08-27 00:05:27
66,Manjari Chadha,+917537693455,DL00669020,Shadowfax,Ahmedabad,Gujarat,Inactive,2023-03-26 01:43:31
67,Khushi Sheth,9381528376,DL00671595,Shadowfax,Bengaluru,Karnataka,Inactive,2022-01-30 11:11:40
68,Piya Johal,07541418194,DL00686891,EcomExpress,New Delhi,Delhi,Inactive,2021-08-17 08:34:39
69,Nitya Tandon,01576229742,DL00699842,In-house,Chennai,Tamil Nadu,Inactive,2023-10-24 03:03:56
70,Oorja Mani,5263319847,DL00702050,In-house,Ahmedabad,Gujarat,Active,2025-02-18 11:36:19
71,Neelofar Gour,06974797155,DL00719161,In-house,Bengaluru,Karnataka,Inactive,2024-03-21 21:26:20
72,Romil Gaba,+917035297054,DL00729377,In-house,Pune,Maharashtra,Active,2022-05-30 16:24:31
73,Zeeshan Sachdev,+919508266127,DL00739487,Shadowfax,Mysuru,Karnataka,Active,2021-02-22 12:06:21
74,Samarth Hora,+915243134521,DL00745985,BlueDart,Nagpur,Maharashtra,Inactive,2022-06-13 16:31:27
75,Neysa Ratti,+914040929900,DL00759138,EcomExpress,Bengaluru,Karnataka,Active,2021-01-08 17:55:18
76,Anay Tak,+917544034678,DL00763116,EcomExpress,Mysuru,Karnataka,Inactive,2020-05-22 17:26:33
77,Shalv Bajaj,04600445255,DL00771214,In-house,New Delhi,Delhi,Active,2022-01-22 03:19:57
78,Misha Badal,07724291587,DL00787296,In-house,Mysuru,Karnataka,Inactive,2021-09-30 21:22:48
79,Krish Wagle,0188762443,DL00791890,EcomExpress,Chennai,Tamil Nadu,Inactive,2021-06-28 11:22:14
80,Neysa Zachariah,+916476360750,DL00803989,Delhivery,New Delhi,Delhi,Active,2025-08-16 13:22:00
81,Ranbir Sampath,8796832764,DL00815513,BlueDart,New Delhi,Delhi,Inactive,2022-01-02 01:53:09
82,Indrans Ranganathan,7892615840,DL00827987,In-house,Ahmedabad,Gujarat,Inactive,2022-11-28 13:19:29
83,Rania Kakar,01844583348,DL00834815,In-house,Mysuru,Karnataka,Active,2024-06-21 08:32:11
84,Samaira Dyal,08321707144,DL00845893,EcomExpress,New Delhi,Delhi,Active,2022-10-21 23:30:39
85,Hridaan Basu,0646498056,DL00856799,BlueDart,Ahmedabad,Gujarat,Active,2024-09-01 01:38:46
86,Alisha Choudhary,+912690705461,DL00862483,In-house,New Delhi,Delhi,Active,2021-03-17 02:58:58
87,Yuvraj  Lata,7958041682,DL00874655,BlueDart,Chennai,Tamil Nadu,Active,2021-11-24 11:59:21
88,Vivaan Tak,4341095830,DL00887460,EcomExpress,Surat,Gujarat,Inactive,2020-09-01 14:57:11
89,Bhamini Agarwal,08103861469,DL00899190,In-house,New Delhi,Delhi,Inactive,2021-03-06 21:55:06
90,Bhavin Kala,09387545779,DL00906660,In-house,Nagpur,Maharashtra,Active,2022-11-11 15:37:27
91,Ivan Borah,+917359743479,DL00916310,BlueDart,New Delhi,Delhi,Active,2021-01-17 06:49:52
92,Shanaya Kari,+919716105478,DL00923190,BlueDart,New Delhi,Delhi,Inactive,2022-01-03 05:45:50
93,Ela Sehgal,5831002629,DL00932198,Shadowfax,Surat,Gujarat,Active,2020-12-05 13:05:35
94,Dhanush Char,08460868045,DL00945511,BlueDart,Coimbatore,Tamil Nadu,Active,2022-02-06 19:48:51
95,Badal Seth,09188059490,DL00957223,EcomExpress,Mysuru,Karnataka,Active,2020-07-13 01:31:06
96,Samiha Upadhyay,6816507959,DL00968680,BlueDart,Chennai,Tamil Nadu,Inactive,2020-07-14 12:07:53
97,Miraan Khare,07061453994,DL00978438,Shadowfax,Surat,Gujarat,Inactive,2024-07-01 07:45:07
98,Gatik Deshpande,04647320554,DL00981865,BlueDart,Coimbatore,Tamil Nadu,Inactive,2024-02-27 19:53:36
99,Ivana Badami,+916269525510,DL00992590,Shadowfax,New Delhi,Delhi,Inactive,2020-06-27 23:19:55
100,Dhruv Hora,+914518884863,DL01001834,BlueDart,Chennai,Tamil Nadu,Inactive,2024-02-07 19:50:37
101,Alia Varma,02533736478,DL01018522,Shadowfax,Coimbatore,Tamil Nadu,Inactive,2024-08-21 19:51:56
102,Veer Lall,5614451863,DL01025650,Shadowfax,Mysuru,Karnataka,Inactive,2025-07-31 17:11:58
103,Kaira Bahl,+911804867354,DL01032608,Shadowfax,New Delhi,Delhi,Inactive,2025-08-23 10:05:15
104,Jiya Bhalla,+910452130457,DL01049524,EcomExpress,Surat,Gujarat,Active,2022-05-29 13:46:58
105,Tiya Warrior,8148259623,DL01052984,Shadowfax,Mysuru,Karnataka,Inactive,2023-10-11 01:37:23
106,Armaan Kaul,+916729770080,DL01063391,Shadowfax,Nagpur,Maharashtra,Active,2024-11-12 09:59:40
107,Riaan Keer,+918320940128,DL01074460,Shadowfax,Coimbatore,Tamil Nadu,Active,2022-01-16 16:56:27
108,Nakul Hegde,7308060668,DL01088638,Shadowfax,Chennai,Tamil Nadu,Active,2022-04-15 03:40:16
109,Zain Dara,+916440498893,DL01093664,BlueDart,Bengaluru,Karnataka,Inactive,2024-07-02 15:41:58
110,Ishaan Brahmbhatt,+916152319193,DL01104123,BlueDart,Surat,Gujarat,Inactive,2021-04-17 04:34:32
111,Rasha Gokhale,+913920602890,DL01115883,BlueDart,Pune,Maharashtra,Inactive,2021-12-22 20:03:53
112,Mohanlal Karnik,9081815080,DL01129055,In-house,Pune,Maharashtra,Inactive,2020-08-04 09:05:12
113,Vaibhav Khanna,08697286334,DL01132248,EcomExpress,Ahmedabad,Gujarat,Inactive,2022-11-17 01:44:35
114,Jivin Sahni,+913871359890,DL01149549,Shadowfax,Chennai,Tamil Nadu,Active,2024-01-13 14:06:49
115,Samarth Sagar,06142780403,DL01151473,BlueDart,Mysuru,Karnataka,Active,2024-12-23 11:29:23
116,Sara Deshpande,+913587657353,DL01167998,EcomExpress,Pune,Maharashtra,Inactive,2020-01-26 00:50:43
117,Amani Singh,+917676032920,DL01175123,Delhivery,Surat,Gujarat,Active,2020-03-24 18:38:51
118,Keya Kata,1176859618,DL01181809,BlueDart,Mumbai,Maharashtra,Active,2025-08-09 03:42:43
119,Kavya Wagle,+918014989023,DL01197705,Shadowfax,Ahmedabad,Gujarat,Active,2025-01-01 17:15:54
120,Samiha Mahal,07269688584,DL01205365,In-house,Pune,Maharashtra,Active,2020-01-16 13:01:53
121,Samarth Agarwal,+917862172056,DL01218457,Shadowfax,Mysuru,Karnataka,Inactive,2021-07-12 17:02:25
122,Yasmin Wagle,04132863645,DL01221330,In-house,Ahmedabad,Gujarat,Inactive,2024-02-02 15:09:33
123,Emir Goyal,+918793619482,DL01239005,EcomExpress,New Delhi,Delhi,Active,2021-12-21 07:16:17
124,Jivin Mannan,+913366793924,DL01243404,Shadowfax,Coimbatore,Tamil Nadu,Active,2022-04-11 06:00:38
125,Kabir Vyas,06783908238,DL01258116,Shadowfax,Pune,Maharashtra,Active,2024-09-29 09:41:51
126,Ahana  Chanda,06001734899,DL01267740,Delhivery,New Delhi,Delhi,Active,2020-04-24 14:10:59
127,Divyansh Rajan,04899594021,DL01274613,Delhivery,Mysuru,Karnataka,Active,2024-07-10 14:15:09
128,Yasmin Chopra,6511695771,DL01288088,BlueDart,Surat,Gujarat,Active,2025-07-23 21:39:52
129,Anahi Reddy,+914969683394,DL01293120,BlueDart,Surat,Gujarat,Active,2022-10-29 17:19:44
130,Divyansh Garg,+914296532802,DL01302877,BlueDart,Coimbatore,Tamil Nadu,Inactive,2025-06-05 18:54:53
131,Baiju Sachdev,+919768368710,DL01311011,BlueDart,Chennai,Tamil Nadu,Active,2020-12-03 04:11:46
132,Urvi Kapoor,06221881061,DL01322110,Delhivery,Pune,Maharashtra,Inactive,2024-05-08 08:46:53
133,Madhup Bhasin,+918038609316,DL01335211,Shadowfax,Bengaluru,Karnataka,Active,2024-03-26 08:27:59
134,Zaina Kumar,2635415220,DL01346569,BlueDart,New Delhi,Delhi,Active,2024-04-02 15:08:28
135,Dharmajan Dugar,9817558844,DL01356880,BlueDart,Mysuru,Karnataka,Inactive,2022-07-31 17:17:11
136,Chirag Bal,+916784740771,DL01362132,EcomExpress,Pune,Maharashtra,Active,2021-11-08 15:04:03
137,Manjari Tak,+910792414854,DL01373120,Delhivery,Coimbatore,Tamil Nadu,Active,2025-04-08 14:19:36
138,Dishani Ben,05777267796,DL01381288,Shadowfax,Nagpur,Maharashtra,Inactive,2024-06-06 19:39:52
139,Misha Bhatti,01921303848,DL01399012,EcomExpress,Coimbatore,Tamil Nadu,Active,2020-10-26 20:38:36
140,Anvi Karnik,+914023240793,DL01405985,BlueDart,Coimbatore,Tamil Nadu,Active,2023-12-20 17:15:16
141,Nirvaan Jhaveri,00513542219,DL01412098,Delhivery,Chennai,Tamil Nadu,Active,2025-08-20 14:16:00
142,Farhan Singhal,+919219319146,DL01422401,EcomExpress,Mumbai,Maharashtra,Active,2022-03-13 08:05:38
143,Tiya Konda,04619669057,DL01433285,Shadowfax,Bengaluru,Karnataka,Active,2023-08-14 19:05:53
144,Akarsh Hora,04713373166,DL01444408,EcomExpress,Nagpur,Maharashtra,Inactive,2025-07-18 11:14:58
145,Arnav Mangat,07279680841,DL01452634,Shadowfax,New Delhi,Delhi,Active,2025-05-14 09:30:49
146,Nitara Date,02004300222,DL01469981,BlueDart,Chennai,Tamil Nadu,Inactive,2025-05-11 23:06:39
147,Ivana Wason,+918231007996,DL01474709,Delhivery,Mysuru,Karnataka,Inactive,2020-07-12 15:37:06
148,Prerak Amble,1573251987,DL01483208,EcomExpress,Mysuru,Karnataka,Inactive,2020-06-01 16:32:47
149,Misha Mahajan,7819084991,DL01498952,In-house,Surat,Gujarat,Inactive,2024-08-06 09:04:55
150,Samar Ghosh,6171805005,DL01508500,BlueDart,Mysuru,Karnataka,Active,2023-10-28 15:09:58
151,Anay Anand,8386711935,DL01515501,EcomExpress,Chennai,Tamil Nadu,Inactive,2025-03-27 04:19:45
152,Rati Mangat,9267259450,DL01522128,Shadowfax,Nagpur,Maharashtra,Inactive,2024-09-07 20:44:28
153,Madhav Sawhney,09283247646,DL01538626,EcomExpress,Ahmedabad,Gujarat,Inactive,2021-07-28 07:13:09
154,Nirvi Dar,07166692827,DL01543945,Delhivery,Chennai,Tamil Nadu,Inactive,2023-04-08 22:34:18
155,Pranay Ramaswamy,+911532096653,DL01556969,In-house,New Delhi,Delhi,Inactive,2022-03-29 20:05:30
156,Amira Bhandari,+911598279915,DL01562519,EcomExpress,Chennai,Tamil Nadu,Inactive,2021-09-20 23:55:32
157,Alisha Ahluwalia,+919240905698,DL01578618,BlueDart,Ahmedabad,Gujarat,Inactive,2025-06-16 07:33:50
158,Indrans Kaul,+914003356927,DL01581667,BlueDart,Pune,Maharashtra,Active,2022-06-13 12:17:23
159,Rania Chandra,+910835069052,DL01592803,EcomExpress,Nagpur,Maharashtra,Inactive,2022-12-19 17:00:43
160,Mahika Rajan,+911621543092,DL01606127,Shadowfax,Surat,Gujarat,Active,2024-02-14 03:36:56
161,Aayush Subramaniam,03521036240,DL01614678,EcomExpress,Bengaluru,Karnataka,Active,2020-01-07 00:53:04
162,Aarav Venkataraman,2589534201,DL01625938,In-house,New Delhi,Delhi,Active,2024-04-28 22:05:36
163,Jhanvi Som,8401043365,DL01638102,BlueDart,Ahmedabad,Gujarat,Active,2024-12-05 14:32:20
164,Ishaan Ahuja,04460058745,DL01647555,BlueDart,Mysuru,Karnataka,Inactive,2025-02-19 08:15:14
165,Miraan Chaudry,+914841501035,DL01656806,Delhivery,Chennai,Tamil Nadu,Active,2022-10-18 20:27:44
166,Ira Choudhary,4492772396,DL01667456,Delhivery,Chennai,Tamil Nadu,Active,2025-03-08 18:11:54
167,Adira Venkataraman,03310227220,DL01672388,EcomExpress,Surat,Gujarat,Active,2021-08-30 10:55:01
168,Kiara Loke,+915699971878,DL01688071,In-house,Bengaluru,Karnataka,Inactive,2020-12-01 09:57:11
169,Gokul Deep,+914783564107,DL01691219,EcomExpress,Coimbatore,Tamil Nadu,Active,2022-08-15 06:19:30
170,Inaaya  Goda,04163190400,DL01702268,EcomExpress,Ahmedabad,Gujarat,Active,2021-09-06 22:04:05
171,Advika Chopra,0535103958,DL01711093,BlueDart,Bengaluru,Karnataka,Inactive,2023-02-04 05:33:37
172,Damini Goel,05880319953,DL01724758,EcomExpress,New Delhi,Delhi,Active,2022-08-22 04:50:42
173,Saanvi Varma,1536984643,DL01734786,BlueDart,Mumbai,Maharashtra,Active,2022-05-12 23:02:25
174,Rohan Basak,08142730622,DL01749905,In-house,Nagpur,Maharashtra,Active,2024-06-25 07:36:55
175,Lakshay Banik,0866720697,DL01758498,Delhivery,Ahmedabad,Gujarat,Active,2023-08-14 06:12:01
176,Krish Solanki,06077210187,DL01767711,BlueDart,Surat,Gujarat,Active,2023-11-11 20:32:02
177,Nayantara Rana,05270410983,DL01777486,BlueDart,Ahmedabad,Gujarat,Active,2023-04-03 17:35:19
178,Dhanuk Agrawal,+918446649358,DL01786924,BlueDart,Coimbatore,Tamil Nadu,Active,2022-02-21 22:22:32
179,Shamik Vala,+917981759238,DL01794530,In-house,Chennai,Tamil Nadu,Inactive,2024-09-03 22:20:17
180,Indrans Kurian,+916816326110,DL01808371,BlueDart,Chennai,Tamil Nadu,Inactive,2021-03-31 20:05:46
181,Mishti Buch,+919166657865,DL01816715,Shadowfax,Coimbatore,Tamil Nadu,Inactive,2020-07-08 06:36:04
182,Dhruv Suri,+915365271135,DL01827203,EcomExpress,Mumbai,Maharashtra,Inactive,2020-04-10 01:08:59
183,Lagan Saran,+915319604033,DL01835377,Delhivery,Ahmedabad,Gujarat,Active,2020-06-08 00:38:32
184,Kiaan Anand,+910307265279,DL01847604,EcomExpress,Mumbai,Maharashtra,Inactive,2023-03-22 09:18:12
185,Ivana Trivedi,+911383177428,DL01853911,Shadowfax,Chennai,Tamil Nadu,Active,2020-07-06 05:22:03
186,Kaira Shetty,8997537963,DL01866805,In-house,Chennai,Tamil Nadu,Active,2023-11-26 12:43:39
187,Neelofar Saini,+916904276842,DL01877315,Delhivery,Mumbai,Maharashtra,Inactive,2020-11-23 20:43:45
188,Reyansh Rajagopalan,9639400905,DL01883358,In-house,Surat,Gujarat,Inactive,2024-05-21 01:30:48
189,Ranbir De,+912700184842,DL01895925,Shadowfax,Ahmedabad,Gujarat,Inactive,2020-08-05 13:21:28
190,Kiaan Gill,00244461118,DL01904729,EcomExpress,Coimbatore,Tamil Nadu,Inactive,2025-07-07 20:32:07
191,Indranil Ravi,9335328309,DL01912647,BlueDart,Coimbatore,Tamil Nadu,Active,2021-10-09 12:14:52
192,Keya Chakrabarti,8593933165,DL01927484,EcomExpress,Ahmedabad,Gujarat,Active,2020-02-20 06:57:40
193,Jivin Chanda,+911670895831,DL01932931,Delhivery,New Delhi,Delhi,Inactive,2021-02-28 09:48:16
194,Nirvaan Aggarwal,06701030858,DL01949219,Shadowfax,Surat,Gujarat,Active,2025-07-06 09:17:56
195,Dharmajan Trivedi,03336023763,DL01959224,Delhivery,New Delhi,Delhi,Inactive,2022-04-08 14:21:43
196,Madhav Dar,00841746335,DL01966641,Shadowfax,Surat,Gujarat,Active,2020-07-03 15:14:45
197,Samiha Lata,03624662716,DL01973113,In-house,Surat,Gujarat,Active,2020-08-17 01:00:46
198,Keya Dhawan,+910531444705,DL01988678,Shadowfax,New Delhi,Delhi,Active,2020-08-17 14:41:49
199,Purab Yadav,08587275565,DL01996537,In-house,Surat,Gujarat,Active,2024-09-17 05:23:46
200,Keya Balasubramanian,01015124932,DL02009370,Delhivery,Bengaluru,Karnataka,Active,2023-07-23 00:23:15
201,Uthkarsh Golla,4577920831,DL02013773,EcomExpress,New Delhi,Delhi,Inactive,2022-11-20 14:55:28
202,Riaan Shah,7828768497,DL02026985,In-house,Coimbatore,Tamil Nadu,Active,2023-05-16 10:41:06
203,Vanya Bera,+916981205009,DL02032898,BlueDart,Mumbai,Maharashtra,Active,2022-08-03 19:25:30
204,Zoya Sangha,04022864777,DL02047154,In-house,Surat,Gujarat,Inactive,2021-04-06 03:17:54
205,Oorja Baral,+915548863510,DL02059193,Shadowfax,Nagpur,Maharashtra,Inactive,2022-02-07 15:37:39
206,Bhamini Borah,+915345182706,DL02067391,BlueDart,New Delhi,Delhi,Inactive,2023-04-28 20:10:51
207,Dhanush Boase,0452929337,DL02075687,EcomExpress,New Delhi,Delhi,Active,2021-11-17 20:08:35
208,Anaya Rastogi,09565362186,DL02082950,BlueDart,Mysuru,Karnataka,Active,2023-09-04 05:16:59
209,Chirag Goswami,0992583189,DL02098819,EcomExpress,Nagpur,Maharashtra,Active,2021-01-02 21:55:37
210,Aradhya Bath,01751400042,DL02104863,Delhivery,Mumbai,Maharashtra,Inactive,2024-02-14 01:54:17
211,Anahita Sehgal,+917651401714,DL02119404,In-house,Bengaluru,Karnataka,Active,2024-04-03 14:53:57
212,Navya Yadav,9258822534,DL02126337,BlueDart,Nagpur,Maharashtra,Inactive,2023-03-14 18:07:00
213,Arnav Kakar,05599480851,DL02134464,EcomExpress,Mysuru,Karnataka,Active,2025-02-22 17:08:23
214,Mahika Arya,0609756028,DL02141844,BlueDart,Chennai,Tamil Nadu,Active,2020-07-25 08:37:01
215,Ayesha Sur,+910727941311,DL02156206,Shadowfax,Bengaluru,Karnataka,Active,2021-07-20 04:39:55
216,Gokul Deol,02522098174,DL02161715,Delhivery,Ahmedabad,Gujarat,Inactive,2021-05-05 04:37:17
217,Reyansh Walia,09954954520,DL02179245,Shadowfax,Surat,Gujarat,Inactive,2022-08-13 21:10:31
218,Romil Kara,4798177309,DL02189243,EcomExpress,Bengaluru,Karnataka,Inactive,2022-07-31 19:34:55
219,Amira Ramachandran,00122016533,DL02193832,Delhivery,Chennai,Tamil Nadu,Inactive,2024-10-22 22:56:26
220,Chirag Kapoor,06511660232,DL02204294,EcomExpress,Pune,Maharashtra,Inactive,2020-11-26 20:43:22
221,Aarush Rama,+915253577953,DL02211349,BlueDart,Bengaluru,Karnataka,Active,2020-06-05 22:46:38
222,Vihaan Chand,+915935094823,DL02229915,EcomExpress,Coimbatore,Tamil Nadu,Active,2024-12-11 00:11:44
223,Nayantara Sachar,4616608026,DL02237287,In-house,Mysuru,Karnataka,Active,2024-01-28 05:37:31
224,Mishti Shah,05418565133,DL02243045,EcomExpress,Surat,Gujarat,Active,2025-09-08 00:28:35
225,Ehsaan Rao,+919350716552,DL02258115,Delhivery,Coimbatore,Tamil Nadu,Inactive,2025-07-31 13:54:57
226,Yuvraj  Balan,+913395216388,DL02269179,Shadowfax,Chennai,Tamil Nadu,Active,2024-01-21 21:42:26
227,Renee Badami,5694451008,DL02271137,In-house,Ahmedabad,Gujarat,Active,2021-07-08 11:56:39
228,Kashvi Keer,09738736471,DL02288566,Delhivery,Mumbai,Maharashtra,Active,2020-09-25 19:57:21
229,Mehul Bhardwaj,9125747779,DL02291138,EcomExpress,Ahmedabad,Gujarat,Active,2023-09-03 09:57:03
230,Amira Arora,04518427346,DL02306758,In-house,New Delhi,Delhi,Inactive,2023-03-15 21:56:09
231,Vardaniya Chad,3131098098,DL02319105,In-house,Mysuru,Karnataka,Active,2021-01-03 06:15:09
232,Azad Sangha,6766318899,DL02326058,BlueDart,Bengaluru,Karnataka,Active,2021-09-16 16:08:09
233,Kismat Sami,04814221368,DL02333354,EcomExpress,Pune,Maharashtra,Inactive,2022-05-22 06:18:49
234,Dhruv Goyal,03133457132,DL02347871,BlueDart,Pune,Maharashtra,Inactive,2021-07-30 10:23:22
235,Eva Dyal,+918735342407,DL02354990,Shadowfax,Coimbatore,Tamil Nadu,Inactive,2024-06-27 04:50:12
236,Anya Bhasin,+910607835894,DL02363895,EcomExpress,Surat,Gujarat,Inactive,2023-06-25 05:59:59
237,Azad Baral,1705557465,DL02373788,EcomExpress,Mumbai,Maharashtra,Active,2021-07-21 17:23:40
238,Gatik Tiwari,08093394996,DL02385149,BlueDart,Nagpur,Maharashtra,Inactive,2020-02-15 10:07:44
239,Vaibhav Karnik,2230395353,DL02399206,Shadowfax,Pune,Maharashtra,Inactive,2022-06-10 08:42:39
