order_id,client_id,customer_name,customer_phone,delivery_address_line1,delivery_address_line2,city,state,pincode,order_date,promised_delivery_date,actual_delivery_date,status,payment_mode,amount,failure_reason,created_at
49,186,Sana Seshadri,2733630209,"20, Kata Road",Sachdev Marg,New Delhi,Delhi,370024,2025-01-30 23:38:11,2025-02-02 23:38:11,2025-02-02 23:38:11,Delivered,Prepaid,1346.71,,2025-02-21 23:24:49
50,169,Azad Devi,07143409949,"53/367, Borah Zila",Bakshi Ganj,Mysuru,Karnataka,047239,2025-01-09 00:57:49,2025-01-14 00:57:49,2025-01-14 00:57:49,Delivered,COD,1888.28,,2025-03-24 00:15:23
51,116,Uthkarsh Boase,4270472519,"H.No. 93, Kata Road",Kothari Circle,Nagpur,Maharashtra,408901,2025-06-17 00:54:14,2025-06-19 00:54:14,,Returned,COD,4741.5,,2025-04-29 13:49:16
52,44,Tejas Banerjee,8217094189,"16/841, Gour Chowk",Swaminathan Path,Ahmedabad,Gujarat,939686,2025-01-15 01:50:37,2025-01-19 01:50:37,,Returned,COD,338.44,,2025-08-22 13:17:32
53,305,Onkar Chand,8611312268,"168, Toor Circle",Ganesh Path,Coimbatore,Tamil Nadu,695689,2025-06-21 19:48:56,2025-06-26 19:48:56,,Failed,COD,955.39,Traffic congestion,2025-01-05 14:22:52
54,423,Krish Singhal,+917908403787,"H.No. 977
Walia Zila",Jayaraman,Coimbatore,Tamil Nadu,079862,2025-05-26 06:06:51,2025-05-30 06:06:51,,In-Transit,Prepaid,2937.69,,2025-08-10 20:37:50
55,343,Aniruddh Venkatesh,+919863747230,"H.No. 024, Soni Path",Bakshi Street,New Delhi,Delhi,692974,2025-03-26 14:00:45,2025-03-31 14:00:45,,Pending,COD,2484.84,,2025-09-05 14:56:54
56,129,Samiha Gupta,06649980087,"H.No. 992, Gaba Path",Gokhale Road,New Delhi,Delhi,905738,2025-07-17 04:28:02,2025-07-20 04:28:02,,Returned,COD,4974.45,,2025-02-25 14:48:15
57,326,Ojas Vohra,07704944510,"H.No. 97, Sinha",Mangat Chowk,New Delhi,Delhi,055992,2025-09-03 18:33:37,2025-09-07 18:33:37,,Returned,Prepaid,4589.85,,2025-08-03 20:24:34
58,390,Alia Bhandari,3778889116,"29/50, Tata Street",Sama Chowk,Mumbai,Maharashtra,802983,2025-07-03 20:51:19,2025-07-07 20:51:19,,Failed,COD,2786.39,Incorrect address,2025-01-11 11:03:18
59,288,Misha Kurian,0080521758,"42/294, Dhawan Nagar",Buch Chowk,Mumbai,Maharashtra,068249,2025-05-01 09:25:35,2025-05-06 09:25:35,,In-Transit,COD,3662.35,,2025-07-28 13:41:34
60,413,Ivan Bawa,02300328627,"27/979, Ray Street",Khatri Zila,Ahmedabad,Gujarat,190050,2025-03-30 04:11:00,2025-03-31 04:11:00,,Pending,COD,2335.96,,2025-07-24 10:47:11
61,153,Madhup Dayal,03712403798,"65/235
Sehgal Chowk",Sethi Street,New Delhi,Delhi,946767,2025-03-20 00:19:55,2025-03-25 00:19:55,,Failed,COD,1450.09,Warehouse delay,2025-01-22 07:02:12
62,169,Priyansh Kade,7123859560,"65/251
Sagar",Dubey Nagar,Ahmedabad,Gujarat,759133,2025-08-29 23:56:45,2025-09-03 23:56:45,,Pending,COD,1324.77,,2025-07-16 03:51:01
63,390,Hiran Bora,+918172723024,"351
Wable Circle",Bhakta Road,Surat,Gujarat,926899,2025-04-30 21:38:14,2025-05-05 21:38:14,,Failed,Prepaid,2469.26,Traffic congestion,2025-02-02 08:41:28
64,57,Jiya Boase,+914951142234,"31
Ben Ganj",Shankar Zila,Coimbatore,Tamil Nadu,075469,2025-03-08 00:19:55,2025-03-11 00:19:55,2025-03-12 00:19:55,Delivered,Prepaid,3807.57,,2025-09-04 12:22:14
65,476,Vritika Dhawan,02017264650,"91/06, Sankaran Circle",Goyal Road,Pune,Maharashtra,342368,2025-05-01 01:13:19,2025-05-02 01:13:19,,Pending,COD,2036.23,,2025-05-25 20:24:15
66,19,Priyansh Savant,08949261543,"H.No. 168, Keer Zila",Jha Ganj,Nagpur,Maharashtra,542862,2025-05-08 05:40:14,2025-05-09 05:40:14,,In-Transit,COD,4633.15,,2025-07-05 13:12:03
67,46,Indrajit Jayaraman,07811775899,"912
Dugal",Bhardwaj Street,New Delhi,Delhi,863737,2025-05-17 14:16:05,2025-05-18 14:16:05,,Pending,COD,521.44,,2025-02-26 07:33:39
68,395,Renee Suresh,4209931208,"58/99, Arora",Biswas Ganj,New Delhi,Delhi,247631,2025-02-18 22:10:26,2025-02-20 22:10:26,,Pending,Prepaid,4802.5,,2025-02-28 03:48:22
69,294,Anya Mannan,+918653295264,"41/29
Srinivasan Marg",Divan Path,Pune,Maharashtra,552400,2025-08-08 07:36:53,2025-08-13 07:36:53,,Pending,Prepaid,2656.02,,2025-06-18 07:12:40
70,255,Purab Khurana,00595048966,"76/43
Bhakta Chowk",Bir Path,Surat,Gujarat,724298,2025-02-14 07:25:52,2025-02-19 07:25:52,,In-Transit,Prepaid,4615.82,,2025-08-20 15:59:25
71,188,Dhruv Sandal,+916149840683,"41/054, Ramakrishnan Path",Borde Path,New Delhi,Delhi,136593,2025-04-21 23:46:41,2025-04-26 23:46:41,,Returned,Prepaid,422.69,,2025-03-30 04:02:58
72,433,Ritvik Gola,6097795510,"510, Chad Marg",Hora Marg,New Delhi,Delhi,928629,2025-04-28 17:54:10,2025-04-30 17:54:10,,Failed,Prepaid,2039.7,Warehouse delay,2025-03-01 02:38:12
73,338,Ishaan Bora,+915989925690,"H.No. 044, Chaudhari Chowk",Dar Circle,New Delhi,Delhi,061298,2025-03-18 05:19:10,2025-03-23 05:19:10,2025-03-24 05:19:10,Delivered,Prepaid,4026.09,,2025-06-03 09:51:39
74,46,Elakshi Rajan,01572152025,"889
Srinivas",Gupta,New Delhi,Delhi,486977,2025-05-09 16:03:58,2025-05-13 16:03:58,,Failed,COD,1289.36,Weather disruption,2025-03-08 07:34:26
75,260,Uthkarsh Choudhury,04947652441,"00/99
Madan Ganj",Kumer Road,Ahmedabad,Gujarat,475233,2025-07-09 06:29:33,2025-07-14 06:29:33,,Pending,COD,1654.88,,2025-03-20 14:11:02
76,450,Renee Rana,+919012728353,"H.No. 399
Loyal Chowk",Saha Path,Bengaluru,Karnataka,548837,2025-02-11 23:19:23,2025-02-13 23:19:23,,In-Transit,Prepaid,2559.91,,2025-01-28 18:47:06
77,160,Anay Ramachandran,07252653945,"07/749, Uppal Zila",Char Ganj,Chennai,Tamil Nadu,477534,2025-01-26 02:20:05,2025-01-27 02:20:05,,Pending,COD,4998.7,,2025-05-09 06:11:01
78,277,Charvi Dalal,02295748209,"17/44, Rajan Zila",Ram Path,Surat,Gujarat,029759,2025-01-08 05:55:00,2025-01-10 05:55:00,,Pending,Prepaid,2732.24,,2025-01-01 18:57:13
79,289,Ojas Subramanian,+910464445461,"H.No. 00
Shere",Bali Nagar,Pune,Maharashtra,537822,2025-02-09 04:15:30,2025-02-11 04:15:30,,In-Transit,COD,2236.02,,2025-07-10 05:20:43
80,299,Alisha Balasubramanian,09108321994,"H.No. 25, Tank Zila",Tata Zila,Bengaluru,Karnataka,868826,2025-04-04 22:54:27,2025-04-06 22:54:27,,Failed,COD,953.32,Incorrect address,2025-08-22 14:04:20
81,397,Romil Anne,+916088902774,"78
Roy Nagar",Randhawa,Bengaluru,Karnataka,528614,2025-06-27 16:32:54,2025-07-02 16:32:54,,Pending,Prepaid,1186.32,,2025-09-06 20:16:43
82,248,Amani Kota,04020878568,"94/27
Jani Path",Raman Ganj,Chennai,Tamil Nadu,498627,2025-08-21 08:00:59,2025-08-26 08:00:59,,Failed,COD,3947.48,Stockout,2025-06-19 07:04:22
83,373,Kanav Bhasin,05007916298,"20/359
Lad Ganj",Ramakrishnan Ganj,Chennai,Tamil Nadu,435596,2025-08-25 21:03:05,2025-08-28 21:03:05,2025-08-29 21:03:05,Delivered,COD,4454.02,,2025-07-18 10:34:38
84,409,Divit Bava,+917160556661,"368
Deo Street",Halder,Chennai,Tamil Nadu,981044,2025-05-12 21:25:25,2025-05-14 21:25:25,,Returned,COD,232.51,,2025-05-14 12:12:37
85,89,Samar Thaman,7177916442,"17/44, Cheema Zila",Ghose,Coimbatore,Tamil Nadu,881939,2025-03-21 18:34:04,2025-03-25 18:34:04,,Returned,COD,591.75,,2025-07-29 19:41:15
86,158,Nehmat Divan,+919446935050,"H.No. 922
Krishnan",Dayal,Coimbatore,Tamil Nadu,596165,2025-04-09 15:47:48,2025-04-12 15:47:48,,Failed,COD,3943.92,Incorrect address,2025-01-18 02:33:32
87,368,Kartik Bora,01118125628,"H.No. 86, Agate Ganj",Raja Street,New Delhi,Delhi,931957,2025-03-11 16:57:36,2025-03-13 16:57:36,2025-03-13 16:57:36,Delivered,COD,4023.73,,2025-03-17 16:54:44
88,152,Umang Dash,+918679799678,"16/13, Hayer Chowk",Saxena Road,Surat,Gujarat,883765,2025-08-05 07:29:33,2025-08-06 07:29:33,,In-Transit,COD,3380.5,,2025-03-30 13:00:19
89,337,Parinaaz Gaba,+910954885291,"174, Basu Zila",Sunder Nagar,Bengaluru,Karnataka,312058,2025-04-25 03:13:40,2025-04-30 03:13:40,2025-04-30 03:13:40,Delivered,COD,554.73,,2025-01-02 04:58:05
90,100,Hridaan Dani,0683031610,"71/070, Issac Circle",Raman,New Delhi,Delhi,482690,2025-03-13 02:43:17,2025-03-15 02:43:17,,Pending,Prepaid,3461.71,,2025-02-14 15:58:59
91,448,Krish Contractor,04640465008,"64/96, Datta Marg",Sule Street,Chennai,Tamil Nadu,492144,2025-04-28 20:20:05,2025-05-02 20:20:05,,Pending,COD,2766.48,,2025-06-28 01:56:59
92,460,Rhea Lall,1061748730,"071
Ratti Road",De Chowk,Chennai,Tamil Nadu,746982,2025-03-11 15:56:30,2025-03-14 15:56:30,2025-03-15 15:56:30,Delivered,Prepaid,1308.82,,2025-01-04 08:00:11
93,256,Sana Dayal,+912458214644,"668
Bhatia Street",Lal Street,Pune,Maharashtra,553892,2025-03-22 01:27:47,2025-03-27 01:27:47,2025-03-27 01:27:47,Delivered,COD,577.22,,2025-04-10 01:39:12
94,277,Mohanlal Mallick,0427269008,"19
Tella",Dada Chowk,Coimbatore,Tamil Nadu,791430,2025-02-23 03:32:30,2025-02-26 03:32:30,2025-02-27 03:32:30,Delivered,Prepaid,3272.61,,2025-08-20 01:18:46
95,358,Aaina Rattan,01111675228,"H.No. 078, Rajagopal Road",Dave Marg,Ahmedabad,Gujarat,905778,2025-05-15 23:33:11,2025-05-20 23:33:11,,In-Transit,COD,563.56,,2025-06-03 19:47:12
96,152,Aaryahi Kunda,+910857044256,"H.No. 40
Upadhyay",Vyas Marg,Bengaluru,Karnataka,554278,2025-05-25 10:51:35,2025-05-30 10:51:35,,Failed,Prepaid,2271.28,Warehouse delay,2025-04-18 16:12:29
97,457,Vihaan Madan,+918714630629,"H.No. 99, Kurian Circle",Dalal Ganj,Ahmedabad,Gujarat,137611,2025-01-16 18:46:45,2025-01-17 18:46:45,,Pending,Prepaid,1684.74,,2025-02-28 19:47:26
98,121,Taimur Datta,6723396661,"293
Subramaniam Street",Khare Circle,Ahmedabad,Gujarat,092402,2025-09-02 22:54:08,2025-09-05 22:54:08,,Failed,COD,1440.22,Incorrect address,2025-05-10 00:03:13
99,96,Nakul Reddy,+917913118708,"H.No. 32
Sahota Path",Contractor Marg,Bengaluru,Karnataka,141057,2025-04-04 14:13:58,2025-04-07 14:13:58,,Failed,COD,3565.56,Stockout,2025-02-23 08:26:01
100,340,Drishya Gandhi,01335066380,"H.No. 10, Hari Path",Banik Path,Nagpur,Maharashtra,221190,2025-06-26 10:02:59,2025-06-30 10:02:59,2025-06-30 10:02:59,Delivered,Prepaid,4120.76,,2025-01-11 08:37:59
101,20,Emir Venkataraman,+918772991527,"61/72
Khalsa Road",Sarin Road,Coimbatore,Tamil Nadu,549755,2025-04-22 02:11:40,2025-04-23 02:11:40,,Pending,Prepaid,1326.13,,2025-06-30 21:05:39
102,380,Seher Bhat,+911632198255,"929
Shenoy Path",Kamdar Ganj,Nagpur,Maharashtra,903922,2025-08-05 04:44:36,2025-08-10 04:44:36,2025-08-12 04:44:36,Delivered,COD,3881.23,,2025-07-18 20:05:26
103,456,Alia Mandal,3044051561,"05
Vyas Nagar",Chandran Path,Bengaluru,Karnataka,442180,2025-08-20 11:21:23,2025-08-23 11:21:23,,In-Transit,COD,1408.64,,2025-02-19 13:37:16
104,35,Rania Saraf,+919003243989,"71, Kant Marg",Gara Marg,New Delhi,Delhi,310341,2025-04-02 19:21:37,2025-04-06 19:21:37,2025-04-07 19:21:37,Delivered,Prepaid,1624.22,,2025-06-16 03:07:02
105,495,Rasha Chakrabarti,3393145542,"28, Sule Chowk",Atwal Road,New Delhi,Delhi,915674,2025-04-03 11:22:44,2025-04-07 11:22:44,,Failed,Prepaid,4592.04,Incorrect address,2025-03-19 19:35:47
106,128,Hunar Kade,04902124614,"H.No. 382
Rana Nagar",Sachdev Zila,Surat,Gujarat,654651,2025-03-05 09:36:14,2025-03-07 09:36:14,,Failed,COD,498.19,Incorrect address,2025-03-25 01:27:15
107,274,Dishani Ghose,00876373905,"953, Bhalla Marg",Sethi Marg,Coimbatore,Tamil Nadu,982178,2025-01-03 10:39:04,2025-01-08 10:39:04,,In-Transit,COD,1073.44,,2025-04-11 14:10:34
108,66,Chirag Bora,04781488953,"H.No. 09, Babu Ganj",Doctor Ganj,Bengaluru,Karnataka,360784,2025-02-07 02:32:11,2025-02-08 02:32:11,,In-Transit,COD,4587.97,,2025-01-28 12:20:25
109,129,Raunak Goswami,07509533718,"H.No. 10
Sant Marg",Wable Chowk,New Delhi,Delhi,345834,2025-02-19 16:13:47,2025-02-20 16:13:47,,Returned,Prepaid,3830.76,,2025-08-23 14:07:52
110,42,Jiya Chander,08200008335,"H.No. 484
Iyer Nagar",Kuruvilla Street,New Delhi,Delhi,693518,2025-08-21 19:41:00,2025-08-25 19:41:00,2025-08-27 19:41:00,Delivered,Prepaid,243.9,,2025-02-14 20:45:36
111,118,Kimaya Tripathi,+918652805822,"16/517
Saran Marg",Balan Circle,Coimbatore,Tamil Nadu,337793,2025-05-29 11:27:56,2025-06-03 11:27:56,,Pending,Prepaid,4739.31,,2025-02-25 07:54:51
112,12,Umang Sahni,+913879470313,"087
Mammen Road",Swaminathan Zila,Ahmedabad,Gujarat,187841,2025-06-16 15:20:44,2025-06-21 15:20:44,2025-06-21 15:20:44,Delivered,Prepaid,3977.28,,2025-08-10 13:21:01
113,334,Saksham Chawla,08282287184,"95, Buch Road",Chauhan Nagar,Mumbai,Maharashtra,298046,2025-09-01 22:04:40,2025-09-06 22:04:40,,Pending,COD,687.43,,2025-03-24 17:42:45
114,80,Shray Sahni,+918650891604,"H.No. 485, Kari Ganj",Chad Zila,Nagpur,Maharashtra,180344,2025-04-01 17:54:42,2025-04-03 17:54:42,,In-Transit,Prepaid,1487.86,,2025-06-15 12:43:01
115,153,Vanya Krishna,+919309456678,"23
Bassi Zila",Balay Ganj,Bengaluru,Karnataka,139623,2025-01-16 20:39:31,2025-01-20 20:39:31,2025-01-20 20:39:31,Delivered,COD,1902.09,,2025-04-20 08:52:00
116,287,Zara Tak,03455008922,"H.No. 25, Ganesan Nagar",Varty,New Delhi,Delhi,299150,2025-07-04 21:28:23,2025-07-09 21:28:23,,Returned,Prepaid,3059.17,,2025-04-29 06:18:55
117,230,Yasmin Comar,7712967124,"08/964
Dugar Marg",Cherian Zila,New Delhi,Delhi,766386,2025-01-10 19:47:48,2025-01-13 19:47:48,,Failed,COD,4687.88,Stockout,2025-08-07 23:39:35
118,204,Vivaan Guha,+915224365447,"68/857
Bal Street",Khurana Circle,Surat,Gujarat,107781,2025-04-29 03:37:26,2025-05-02 03:37:26,,Pending,COD,4183.48,,2025-02-25 15:56:35
119,277,Charvi Batra,8483170350,"H.No. 825, Warrior Street",Anne Zila,Coimbatore,Tamil Nadu,543923,2025-08-08 00:06:51,2025-08-09 00:06:51,,In-Transit,Prepaid,4162.43,,2025-08-31 03:32:51
120,143,Samaira Garg,5731648378,"90, Chakraborty",Sankaran Street,Surat,Gujarat,250949,2025-06-30 07:49:19,2025-07-02 07:49:19,2025-07-03 07:49:19,Delivered,COD,4725.35,,2025-05-20 05:19:08
121,147,Nitya Acharya,06715455309,"69
Kashyap Marg",Walla Chowk,Nagpur,Maharashtra,090161,2025-03-20 13:18:03,2025-03-23 13:18:03,,In-Transit,Prepaid,1295.89,,2025-02-08 08:29:27
122,491,Madhav Saraf,+918828968689,"H.No. 105, Koshy Nagar",Johal Marg,Nagpur,Maharashtra,329896,2025-04-22 07:07:49,2025-04-27 07:07:49,,Failed,Prepaid,3148.75,Stockout,2025-06-06 20:04:28
